Braund,
Cumings,1.0
Heikkinen,1.0
Futrelle,1.0
Allen,1.0
Moran,1.0
McCarthy,0.0
Palsson,0.0
Johnson,1.0
Nasser,1.0
Sandstrom,0.6666666666666666
Bonnell,0.5
Saundercock,
Andersson,0.125
Vestrom,0.0
Hewlett,1.0
Rice,0.0
Williams,
Planke,0.0
Masselmani,1.0
Fynney,
Beesley,
McGowan,0.5
Sloper,
Asplund,0.5
Emir,
Fortune,0.5
Dwyer,1.0
Todoroff,
Uruchurtu,
Spencer,1.0
Glynn,1.0
Wheadon,
Meyer,1.0
Holverson,1.0
Mamee,
Cann,
Yarred,1.0
Ahlin,0.0
Turpin,0.0
Kraeff,
Laroche,0.6666666666666666
Devaney,1.0
Rogers,
Lennon,0.0
Driscoll,1.0
Samaan,
Franchi,0.0
Panula,0.0
Nosworthy,
Harper,1.0
Faunthorpe,1.0
Ostby,0.0
Woolner,
Rugg,1.0
Novel,
West,0.6666666666666666
Goodwin,0.0
Sirayanian,
Icard,1.0
Harris,1.0
Skoog,0.0
Stewart,
Moubarek,0.6666666666666666
Nye,1.0
Crease,
Kink,0.0
Jenkin,
Hood,
Chronopoulos,
Bing,
Moen,
Staneff,
Moutal,
Caldwell,1.0
Dowdell,1.0
Waelens,
Sheerlinck,
McDermott,1.0
Carrau,
Ilett,1.0
Backstrom,1.0
Ford,0.0
Slocovski,
Celotti,
Christmann,
Andreasson,
Chaffee,0.0
Dean,0.3333333333333333
Coxon,
Shorney,
Goldschmidt,
Greenfield,0.0
Doling,1.0
Kantor,1.0
Petranec,0.0
Petroff,
White,0.0
Johansson,
Gustafsson,
Mionoff,
Salkjelsvik,1.0
Moss,
Rekic,
Porter,
Zabour,0.0
Barton,
Jussila,0.0
Attalah,0.0
Pekoniemi,
Connors,
Baxter,1.0
Hickman,
Moore,
Webber,1.0
McMahon,
Madsen,
Peter,0.6666666666666666
Ekstrom,
Drazenoic,
Coelho,
Robins,0.0
Weisz,1.0
Sobey,
Richard,
Newsom,1.0
Osen,
