Abbing,C.A.,0.0,1
Abbott,C.A.,0.0,1
Abbott,C.A.,1.0,1
Abelson,P/PP,0.0,1
Abelson,P/PP,1.0,1
Adahl,C 70,0.0,1
Adams,3418,0.0,1
Ahlin,7546,0.0,1
Aks,3920,1.0,1
Albimona,2699,1.0,1
Alexander,3474,0.0,1
Alhomaki,SOTO,0.0,1
Ali,SOTO,0.0,2
Allen,2416,1.0,1
Allen,3734,0.0,1
Allison,1137,0.0,2
Allison,1137,1.0,1
Allum,2223,0.0,1
Anderson,1995,1.0,1
Andersson,3101,1.0,1
Andersson,3470,0.0,7
Andersson,3500,1.0,1
Andreasson,3474,0.0,1
Andrew,2319,0.0,1
Andrews,1120,0.0,1
Andrews,1350,1.0,1
Angle,2268,1.0,1
Appleton,1176,1.0,1
Artagaveytia,PC 1,0.0,1
Asim,SOTO,0.0,1
Asplund,3470,0.0,1
Asplund,3470,1.0,3
Astor,PC 1,1.0,1
Attalah,2627,0.0,1
Attalah,2694,0.0,1
Aubart,PC 1,1.0,1
Augustsson,3474,0.0,1
Ayoub,2687,1.0,1
Backstrom,3101,0.0,1
Backstrom,3101,1.0,1
Baclini,2666,1.0,4
Badt,2623,0.0,1
Bailey,2910,0.0,1
Balkic,3492,0.0,1
Ball,2855,1.0,1
Banfield,C.A.,0.0,1
Barah,2663,1.0,1
Barbara,2691,0.0,2
Barber,1987,1.0,1
Barkworth,2704,1.0,1
Barton,3246,0.0,1
Bateman,S.O.,0.0,1
Baumann,PC 1,0.0,1
Baxter,PC 1,0.0,1
Baxter,PC 1,1.0,1
Bazzani,1181,1.0,1
Beane,2908,1.0,2
Beavan,3239,0.0,1
Becker,2301,1.0,2
Beckwith,1175,1.0,2
Beesley,2486,1.0,1
Behr,1113,1.0,1
Bengtsson,3470,0.0,1
Berglund,PP 4,0.0,1
Berriman,2842,0.0,1
Betros,2648,0.0,1
Bidois,PC 1,1.0,1
Billiard,A/5.,0.0,1
Bing,1601,1.0,1
Birkeland,3129,0.0,1
Bishop,1196,1.0,2
Bissette,PC 1,1.0,1
Blackwell,1137,0.0,1
Blank,1122,1.0,1
Blumer,1321,1.0,1
Bonnell,1137,1.0,1
Bostandyeff,3492,0.0,1
Boulos,2664,0.0,1
Boulos,2678,0.0,2
Bourke,3648,0.0,3
Bowen,5463,0.0,1
Bowerman,1135,1.0,1
Bracken,2203,0.0,1
Bradley,1114,1.0,1
Bratthammer,6530,1.0,1
Braund,3460,0.0,1
Braund,A/5 ,0.0,1
Brewe,1123,0.0,1
Brien,3309,0.0,1
Brien,3703,0.0,1
Brien,3703,1.0,1
Brocklebank,3645,0.0,1
Brown,2487,1.0,1
Brown,2975,0.0,1
Brown,2975,1.0,1
Brown,PC 1,1.0,1
Bryhl,2368,0.0,1
Burke,3652,0.0,1
Burns,1696,1.0,1
Buss,2784,1.0,1
Butler,2346,0.0,1
Butt,1130,0.0,1
Byles,2443,0.0,1
Bystrom,2368,1.0,1
Cacic,3150,0.0,2
Cairns,1137,0.0,1
Calderhead,PC 1,1.0,1
Caldwell,2487,1.0,2
Calic,3150,0.0,2
Cameron,F.C.,1.0,1
Campbell,2398,0.0,1
Canavan,3648,0.0,1
Cann,A./5,0.0,1
Caram,2689,0.0,1
Carbines,2842,0.0,1
Cardeza,PC 1,1.0,1
Carlo,SC/P,0.0,1
Carlsson,3500,0.0,1
